Time,RAW_U,RAW_V,RAW_W
0.01,0.3268,-0.0098,0.0193
0.02,0.5648,0.0014,-0.05215
0.03,0.45175,0.0087,-0.02223
0.04,0.38648,0.0179,-0.00641
0.05,0.12274,0.023,0.0652
0.06,0.23322,0.015,0.0395
0.07,0.27261,0.0042,0.0239
0.08,0.30711,-0.00185,0.01175
0.09,0.33396,-0.02802,0.00213
0.1,0.33023,-0.02561,-0.00543
0.11,0.35542,-0.03245,-0.01292
0.12,0.3806,-0.0393,-0.0204
0.13,0.38065,-0.0365,-0.01165
0.14,0.3807,-0.0337,-0.0029
0.15,0.3738,-0.0487,0.0003
0.16,0.3833,-0.03875,0.00505
0.17,0.385,-0.04558,0.00452
0.18,0.3871,-0.03589,-0.00849
0.19,0.37855,-0.03439,-0.02479
0.2,0.36588,-0.01049,-0.02934
0.21,0.34129,-0.02154,-0.02842
0.22,0.3167,-0.0326,-0.0275
0.23,0.3313,-0.0167,-0.0181
0.24,0.33335,-0.02775,-0.0155
0.25,0.33668,-0.02423,-0.01555
0.26,0.32469,-0.02781,-0.01373
0.27,0.34079,-0.03485,-0.01406
0.28,0.32764,-0.04817,-0.01148
0.29,0.33682,-0.03683,-0.00864
0.3,0.33646,-0.03671,-0.00272
0.31,0.34273,-0.05025,0.00179
0.32,0.35031,-0.03893,-0.00511
0.33,0.34151,-0.02416,0.0016
0.34,0.3242,-0.01783,0.0099
0.35,0.3192,-0.03596,0.0111
0.36,0.3238,-0.04028,0.01365
0.37,0.30485,-0.04114,0.01792
0.38,0.29537,-0.01787,0.01856
0.39,0.29834,-0.00129,0.01628
0.4,0.31227,0.0004,0.01174
0.41,0.29803,-0.01275,0.00642
0.42,0.30261,-0.01232,0.00621
0.43,0.2963,-0.00301,0.00641
0.44,0.31165,0.0097,0.01051
0.45,0.327,0.0224,0.0146
0.46,0.3021,-0.0023,0.0192
0.47,0.34605,0.0351,0.0135
0.48,0.34493,0.05155,0.00725
0.49,0.38052,0.03247,-0.00477
0.5,0.34491,0.04974,-0.01273
0.51,0.40396,0.05677,-0.01817
0.52,0.38878,0.03683,-0.03699
0.53,0.37524,0.02656,-0.0404
0.54,0.3617,0.0163,-0.0438
0.55,0.3535,-0.0041,-0.00845
0.56,0.3944,0.041,0.00243
0.57,0.38995,0.0678,0.00966
0.58,0.35108,0.05845,0.01198
0.59,0.33434,0.05267,0.02994
0.6,0.35647,0.04723,0.02992
0.61,0.36223,0.01786,0.02006
0.62,0.368,-0.0115,0.0102
0.63,0.3956,0.00515,0.01255
0.64,0.38035,0.00962,0.00907
0.65,0.38453,0.00991,0.00974
0.66,0.37121,0.00545,0.01122
0.67,0.36796,0.00958,0.01126
0.68,0.37483,0.01469,0.01193
0.69,0.3817,0.0198,0.0126
0.7,0.39655,0.01315,0.0005
0.71,0.38198,0.00477,-0.0059
0.72,0.38979,0.01869,-0.0185
0.73,0.3654,0.01159,-0.0179
0.74,0.3777,0.01465,-0.01535
0.75,0.3872,0.01077,-0.01582
0.76,0.3718,-0.01871,-0.01946
0.77,0.3486,-0.00816,-0.01043
0.78,0.37695,0.00217,-2e-05
0.79,0.38282,0.00993,0.00404
0.8,0.3887,0.0177,0.0081
0.81,0.3771,-0.029,0.0013
0.82,0.37385,0.0005,0.0048
0.83,0.37918,-0.0189,0.00055
0.84,0.38669,-0.03365,-0.00167
0.85,0.38394,-0.02892,-0.01019
0.86,0.38607,-0.02461,-0.01539
0.87,0.36389,-0.02465,-0.02405
0.88,0.36119,-0.01532,-0.03377
0.89,0.36355,-0.04271,-0.03399
0.9,0.36752,-0.05466,-0.03424
0.91,0.36501,-0.05848,-0.03692
0.92,0.36496,-0.05259,-0.04056
0.93,0.3649,-0.0467,-0.0442
0.94,0.3865,-0.0371,-0.0501
0.95,0.36625,-0.0418,-0.04845
0.96,0.35793,-0.05615,-0.04502
0.97,0.36401,-0.05597,-0.03941
0.98,0.37001,-0.05994,-0.039
0.99,0.3867,-0.05032,-0.0383
1.0,0.38005,-0.04826,-0.03905
1.01,0.37047,-0.03303,-0.03823
1.02,0.37313,-0.03982,-0.03751
1.03,0.36852,-0.02696,-0.03316
1.04,0.36901,-0.01708,-0.03433
1.05,0.3614,-0.02779,-0.03197
1.06,0.3459,-0.04449,-0.02914
1.07,0.3217,-0.03064,-0.01817
1.08,0.32955,-0.00187,-0.01273
1.09,0.34342,0.03556,-0.00822
1.1,0.32621,0.04118,-0.00771
1.11,0.05705,0.03769,0.06034
1.12,0.19407,0.03089,0.02657
1.13,0.26519,0.04734,0.01043
1.14,0.295,0.04432,0.00292
1.15,0.3003,0.03406,0.00136
1.16,0.3,0.03433,0.00663
1.17,0.3248,0.00566,0.01157
1.18,0.3496,-0.023,0.0165
1.19,0.3217,-0.0323,0.0146
1.2,0.29885,-0.0279,0.0232
1.21,0.30202,-0.0198,0.0268
1.22,0.29306,-0.03475,0.0238
1.23,0.30008,-0.05063,0.01755
1.24,0.30744,-0.02627,0.01452
1.25,0.29187,-0.02874,0.01256
1.26,0.2763,-0.0312,0.0106
1.27,0.3472,-0.0476,0.0061
1.28,0.3262,-0.0106,0.0089
1.29,0.284,-0.0199,-0.0064
1.3,0.338,-0.029,-0.00265
1.31,0.32275,-0.0334,0.00447
1.32,0.32398,-0.01515,0.00473
1.33,0.34549,-0.01087,0.00477
1.34,0.33959,-0.00943,-0.00441
1.35,0.33849,-0.00851,-0.01156
1.36,0.32559,-0.00635,-0.01833
1.37,0.3127,-0.0042,-0.0251
1.38,0.27335,-0.006,-0.01775
1.39,0.30948,0.01335,-0.00432
1.4,0.33064,0.02817,-0.00146
1.41,0.32997,-0.00816,-0.00158
1.42,0.06658,-0.01368,0.06256
1.43,0.19724,-0.01104,0.02993
1.44,0.27042,-0.01007,0.00616
1.45,0.28801,-0.01919,-0.00882
1.46,0.3056,-0.0283,-0.0238
1.47,0.3166,-0.0713,-0.0256
1.48,0.30005,-0.03335,-0.0252
1.49,0.30678,-0.02637,-0.0203
1.5,0.32279,-0.02319,-0.02
1.51,0.30824,-0.01199,-0.02155
1.52,0.30707,-0.0218,-0.02407
1.53,0.30363,-0.00665,-0.02359
1.54,0.3002,0.0085,-0.0231
1.55,0.29775,0.0073,-0.01575
1.56,0.32742,0.00775,-0.00308
1.57,0.32311,0.00037,0.00086
1.58,0.29101,-0.01062,0.00343
1.59,0.29766,0.00179,0.00921
1.6,0.32643,-0.00626,0.01955
1.61,0.3552,-0.0143,0.0299
1.62,0.344,-0.03595,0.02285
1.63,0.3437,-0.04553,0.00927
1.64,0.33145,-0.04927,-0.00296
1.65,0.35893,-0.05854,-0.01383
1.66,0.35472,-0.04112,-0.01782
1.67,0.36221,-0.03236,-0.01676
1.68,0.35455,-0.02318,-0.01743
1.69,0.32967,-0.04554,-0.01877
1.7,0.32254,-0.05027,-0.01593
1.71,0.32332,-0.04358,-0.01797
1.72,0.31881,-0.03429,-0.01513
1.73,0.3143,-0.025,-0.0123
1.74,0.32405,-0.0127,0.006
1.75,0.59262,-0.02555,-0.0524
1.76,0.47546,-0.03988,-0.02365
1.77,0.3583,-0.0542,0.0051
1.78,0.32535,-0.0529,0.01415
1.79,0.35702,-0.03355,0.01342
1.8,0.3887,-0.0142,0.0127
1.81,0.3857,0.0059,0.0003
1.82,0.4064,-0.0316,-0.0201
1.83,0.302,-0.0593,-0.0252
1.84,0.302,0.0035,-0.0196
1.85,0.2408,-0.0295,-0.0019
1.86,0.3024,-0.011,-0.0056
1.87,0.30165,-0.02565,0.0052
1.88,0.33027,-0.01597,0.0108
1.89,0.3589,-0.0063,0.0164
1.9,0.3645,-0.0147,0.0067
1.91,0.3192,0.0041,-0.0017
1.92,0.32695,0.00745,-0.00415
1.93,0.32883,-0.00228,-0.00447
1.94,0.3307,-0.012,-0.0048
1.95,0.3288,-0.0042,-0.0093
1.96,0.3269,0.0036,-0.0138
1.97,0.30595,0.0159,-0.013
1.98,0.31527,0.03295,-0.00605
1.99,0.34579,0.01153,-0.01107
2.0,0.33574,0.00982,-0.01243
2.01,0.3257,0.0081,-0.0138
2.02,0.3365,-0.0185,0.0037
2.03,0.3819,-0.0064,-0.004
2.04,0.3801,-0.0019,-0.009
2.05,0.39195,-0.005,-0.01855
2.06,0.40203,-0.0101,-0.02518
2.07,0.39182,-0.011,-0.02699
2.08,0.35261,0.0004,-0.0128
2.09,0.36765,-0.0066,-5e-05
2.1,0.37953,-0.0072,0.00508
2.11,0.3914,-0.0078,0.0102
2.12,0.3716,-0.0004,0.0061
2.13,0.3564,-0.00075,0.00425
2.14,0.3412,-0.0011,0.0024
2.15,0.33955,-0.00205,0.0099
2.16,0.38028,-0.00358,0.01345
2.17,0.39844,-0.00549,0.00808
2.18,0.4166,-0.0074,0.0027
2.19,0.432,0.0295,-0.0038
2.2,0.4213,0.0156,-0.0134
2.21,0.3822,0.0028,-0.0235
2.22,0.3925,0.0031,-0.0282
2.23,0.38865,-0.0085,-0.026
2.24,0.39287,-0.0135,-0.0268
2.25,0.3971,-0.0185,-0.0276
2.26,0.38255,-0.0086,-0.02095
2.27,0.39092,-0.01235,-0.01188
2.28,0.41436,-0.01037,-0.00989
2.29,0.4378,-0.0084,-0.0079
2.3,0.42505,-0.00985,-0.01665
2.31,0.41553,-0.01057,-0.02237
2.32,0.40877,-0.01838,-0.02363
2.33,0.40499,-0.02554,-0.02822
2.34,0.3947,-0.03677,-0.02836
2.35,0.3532,-0.01148,-0.02243
2.36,0.37235,-0.02764,-0.02381
2.37,0.38787,-0.04907,-0.03111
2.38,0.39314,-0.03683,-0.03475
2.39,0.40707,-0.02772,-0.03478
2.4,0.40443,-0.04291,-0.03644
2.41,0.38972,-0.05611,-0.03712
2.42,0.38626,-0.05465,-0.03456
2.43,0.38463,-0.04882,-0.03198
2.44,0.38232,-0.05641,-0.02849
2.45,0.37361,-0.05466,-0.0286
2.46,0.36671,-0.04358,-0.029
2.47,0.3557,-0.04939,-0.02615
2.48,0.0965,-0.041,0.04283
2.49,0.23415,-0.01375,0.01807
2.5,0.30343,-0.01852,0.00528
2.51,0.31916,-0.00561,-0.00021
2.52,0.32778,-0.01301,-0.00441
2.53,0.32389,-0.0346,-0.01016
2.54,0.3505,-0.0382,-0.01173
2.55,0.3771,-0.0418,-0.0133
2.56,0.3565,-0.0489,-0.0121
2.57,0.35505,-0.0478,-0.0183
2.58,0.34623,-0.0574,-0.01925
2.59,0.3374,-0.067,-0.0202
2.6,0.3509,-0.0198,-0.0105
2.61,0.3504,-0.0383,-0.0124
2.62,0.3581,-0.0325,-0.0163
2.63,0.3658,-0.0267,-0.0202
2.64,0.35635,-0.02855,-0.02545
2.65,0.31967,-0.02763,-0.01978
2.66,0.35898,-0.06366,-0.01284
2.67,0.34484,-0.06528,-0.01162
2.68,0.32327,-0.07454,-0.00796
2.69,0.34808,-0.08837,-0.00973
2.7,0.34959,-0.10114,-0.01567
2.71,0.3634,-0.07517,-0.02338
2.72,0.3585,-0.07728,-0.02544
2.73,0.37195,-0.08134,-0.02562
2.74,0.36338,-0.06402,-0.02966
2.75,0.36734,-0.06436,-0.03133
2.76,0.37992,-0.05818,-0.03496
2.77,0.36341,-0.04489,-0.02953
2.78,0.61281,-0.03374,-0.09162
2.79,0.49425,-0.02032,-0.05831
2.8,0.41158,-0.01656,-0.03716
2.81,0.39819,-0.01778,-0.02748
2.82,0.41119,-0.00799,-0.02659
2.83,0.41704,-0.02094,-0.0237
2.84,0.41172,-0.02372,-0.0271
2.85,0.40376,-0.02191,-0.0313
2.86,0.39148,-0.01575,-0.0293
2.87,0.39104,-0.02048,-0.02305
2.88,0.3906,-0.0252,-0.0168
2.89,0.3974,-0.02415,-0.02005
2.9,0.4119,-0.03123,-0.02838
2.91,0.40575,-0.03442,-0.03634
2.92,0.41278,-0.03586,-0.04442
2.93,0.39894,-0.01758,-0.04476
2.94,0.3851,0.0007,-0.0451
2.95,0.3966,0.0015,-0.0513
2.96,0.3954,-0.01185,-0.04985
2.97,0.41085,-0.01457,-0.05063
2.98,0.40523,-0.02089,-0.04657
2.99,0.39282,-0.02894,-0.04478
3.0,0.40316,-0.04597,-0.04324
3.01,0.39713,-0.05003,-0.04087
3.02,0.39897,-0.03886,-0.04244
3.03,0.38153,-0.03303,-0.04307
3.04,0.37661,-0.03871,-0.03449
3.05,0.35811,-0.06095,-0.02865
3.06,0.36721,-0.02558,-0.01858
3.07,0.39036,-0.00319,-0.02304
3.08,0.39498,-0.01794,-0.02642
3.09,0.39174,-0.01947,-0.02556
3.1,0.3885,-0.021,-0.0247
3.11,0.33755,-0.0605,-0.01305
3.12,0.35282,-0.0434,0.00577
3.13,0.37116,-0.0423,0.01374
3.14,0.35258,-0.02825,0.01687
3.15,0.35289,-0.05012,0.01758
