TIME,FILTERED_U,FILTERED_V,FILTERED_W
1.0,32.68,-0.98,1.9300000000000002
2.0,28.9,-3.5700000000000003,0.53
3.0,31.385,-0.985,0.65
4.0,33.87,1.6,0.77
5.0,32.12,2.71,0.9400000000000001
6.0,33.245000000000005,1.7049999999999998,1.16
7.000000000000001,34.37,0.7000000000000001,1.38
8.0,31.2,-0.66,0.83
9.0,34.160000000000004,-0.79,-0.04
10.0,33.405,-1.555,-0.67
11.0,32.65,-2.32,-1.3
12.0,38.06,-3.93,-2.04
13.0,32.67,-4.82,-0.37
14.000000000000002,38.07,-3.37,-0.29
15.0,37.38,-4.87,0.03
16.0,38.29,-1.5,0.19
17.0,39.28,-2.88,0.98
18.0,39.1,-2.75,-0.585
19.0,38.92,-2.62,-2.15
20.0,37.12,-0.64,-2.77
21.0,35.32,1.34,-3.39
22.0,31.669999999999998,-3.26,-2.75
23.0,33.129999999999995,-1.67,-1.81
24.0,33.335,-2.775,-1.55
25.0,33.54,-3.88,-1.29
26.0,34.0,-2.07,-1.5599999999999998
27.0,31.269999999999996,-3.1399999999999997,-1.1900000000000002
28.000000000000004,35.69,-4.19,-1.44
28.999999999999996,35.144999999999996,-3.37,-1.01
30.0,34.599999999999994,-2.55,-0.58
31.0,33.61,-3.66,0.32
32.0,34.699999999999996,-3.2099999999999995,-0.44
33.0,35.79,-2.76,-1.2
34.0,33.269999999999996,-0.9400000000000001,0.83
35.0,30.69,-1.15,1.82
36.0,31.765,-2.8049999999999997,1.72
37.0,32.84,-4.46,1.6199999999999999
38.0,28.59,-4.2,2.22
39.0,28.59,0.54,1.92
40.0,30.130000000000003,1.53,1.4000000000000001
41.0,32.62,0.21,0.72
42.0,28.38,-2.59,0.11
43.0,30.72,-1.1900000000000002,0.6
44.0,28.999999999999996,0.63,0.66
45.0,32.7,2.2399999999999998,1.46
46.0,30.209999999999997,-0.22999999999999998,1.92
47.0,34.74,0.7799999999999999,1.8599999999999999
48.0,34.56,3.7900000000000005,0.98
49.0,38.085,2.565,-0.35000000000000003
50.0,41.61,1.34,-1.68
51.0,43.955,3.8600000000000003,-2.02
52.0,40.658,2.775,-3.8
53.0,38.414,2.202,-4.09
54.0,37.032,1.8259999999999998,-2.785
55.00000000000001,35.65,1.4500000000000002,-1.48
56.00000000000001,34.53,-2.45,2.69
56.99999999999999,36.54,3.505,2.19
57.99999999999999,33.879999999999995,4.208,1.81
59.0,31.22,4.91,1.43
60.0,34.54,4.545,2.21
61.0,37.86,4.18,2.9899999999999998
62.0,36.8,-1.15,1.02
63.0,39.6,2.06,0.69
64.0,42.32,2.18,1.49
65.0,36.51,1.41,0.5599999999999999
66.0,38.87,1.02,1.04
67.0,35.79,0.1,1.27
68.0,36.47,1.37,1.13
69.0,38.17,1.9800000000000002,1.26
70.0,41.24,2.4699999999999998,0.13
71.0,41.14,0.65,-1.16
72.0,36.74,-0.36,-1.23
73.0,39.76,3.26,-3.11
74.0,34.1,0.44999999999999996,-1.73
75.0,39.0,1.77,-1.28
76.0,39.67,0.69,-1.63
77.0,35.64,-4.82,-2.31
78.0,32.54,0.24,-0.13999999999999999
79.0,40.53,1.25,1.04
80.0,38.87,1.77,0.8099999999999999
81.0,37.71,-2.9000000000000004,0.13
82.0,34.4,-1.21,0.86
83.0,37.059999999999995,3.0,0.83
84.0,38.45,-3.83,-0.37
85.0,39.42,-4.84,-0.38999999999999996
86.0,38.12,-2.42,-1.87
87.0,38.82,-2.03,-2.06
88.0,34.17,-2.4699999999999998,-3.27
89.0,35.38,-4.74,-3.345
90.0,36.265,-5.7,-3.398
91.0,36.257,-5.965,-3.6790000000000003
92.0,36.374,-5.318,-4.05
93.0,37.512,-4.514,-4.53
94.0,36.911,-4.982,-4.875
95.0,35.754999999999995,-4.816,-4.777
96.0,35.357,-5.933,-4.469
97.0,36.184,-5.757000000000001,-3.925
98.0,36.892,-6.0729999999999995,-3.893
99.0,38.616,-5.071,-3.827
100.0,40.339999999999996,-4.07,-3.7600000000000002
101.0,37.34,-4.62,-3.9800000000000004
102.0,36.09,-1.78,-3.74
103.0,37.580000000000005,-4.66,-3.6799999999999997
104.0,36.39,-1.41,-2.88
105.0,36.95,-0.72,-3.55
106.0,35.38,-3.85,-2.96
107.0,32.565,-2.765,-1.8399999999999999
108.0,29.75,-1.68,-0.72
109.00000000000001,33.739999999999995,2.69,-0.73
110.00000000000001,32.32,3.685,-0.7250000000000001
111.00000000000001,30.9,4.68,-0.72
112.00000000000001,32.005,3.5450000000000004,-0.72
112.99999999999999,33.11,2.41,-0.72
113.99999999999999,32.795,3.27,-0.59
114.99999999999999,32.48,4.130000000000001,-0.45999999999999996
115.99999999999999,30.56,2.3800000000000003,-0.02
117.0,29.970000000000002,3.46,1.1900000000000002
118.0,34.96,-2.3,1.6500000000000001
119.0,32.17,-3.2300000000000004,1.46
120.0,30.59,-2.32,1.43
121.0,27.6,-2.35,3.18
122.0,30.520000000000003,-1.17,3.04
123.0,28.410000000000004,-4.97,2.08
124.0,29.945,-2.58,1.6150000000000002
125.0,31.480000000000004,-0.19,1.15
126.0,27.63,-3.1199999999999997,1.06
127.0,34.72,-4.760000000000001,0.61
128.0,32.62,-1.06,0.89
129.0,28.4,-1.9900000000000002,-0.64
130.0,27.889999999999997,-3.9899999999999998,0.03
131.0,39.2,-3.81,0.11
132.0,30.75,-3.7800000000000002,1.16
133.0,32.519999999999996,0.31,0.5
134.0,36.7,-0.66,0.48
135.0,33.37,-0.8,-1.3599999999999999
136.0,33.739999999999995,-0.76,-1.87
137.0,31.269999999999996,-0.42,-2.5100000000000002
138.0,24.18,-2.1399999999999997,-0.89
139.0,23.400000000000002,-0.7799999999999999,-1.04
140.0,34.56,3.27,0.91
141.0,35.18,4.3,0.13999999999999999
142.0,32.93,-4.45,-0.16999999999999998
143.0,32.86,-2.645,-0.22
144.0,32.79,-0.84,-0.27
145.0,34.36,-0.91,-1.76
146.0,30.56,-2.83,-2.3800000000000003
147.0,30.4,-1.865,-2.5149999999999997
148.0,30.240000000000002,-0.8999999999999999,-2.65
149.0,28.349999999999998,0.45999999999999996,-2.48
150.0,31.35,-1.94,-1.54
151.0,33.879999999999995,-2.0,-1.97
152.0,29.37,-0.08,-2.31
153.0,30.59,-3.16,-2.6599999999999997
154.0,30.020000000000003,0.8500000000000001,-2.31
155.0,31.64,-0.16,-2.77
156.0,29.53,0.61,-0.84
157.0,35.709999999999994,0.8200000000000001,0.96
158.0,31.879999999999995,-0.7000000000000001,0.48
159.0,25.89,-2.16,0.6
160.0,30.43,1.4200000000000002,1.5
161.0,35.52,-1.43,2.9899999999999998
162.0,37.16,-1.16,1.15
163.0,35.75,-3.335,0.36
164.0,33.835,-4.317,-0.58
165.0,36.238,-5.548,-1.525
166.0,35.644,-3.959,-1.8519999999999999
167.0,35.05,-2.37,-2.18
168.0,36.97,-2.36,-1.5699999999999998
169.0,34.69,-1.4000000000000001,-1.81
170.0,33.115,-3.45,-1.5599999999999998
171.0,32.762,-3.5700000000000003,-1.78
172.0,32.41,-3.6900000000000004,-2.0
173.0,31.430000000000003,-2.5,-1.23
174.0,32.405,-1.27,0.6
175.0,33.379999999999995,-0.04,2.4299999999999997
176.0,34.605000000000004,-2.73,1.47
177.0,58.742000000000004,-3.7249999999999996,-5.37
178.0,43.991,-4.442,-1.525
179.0,41.431000000000004,-2.931,-0.128
180.0,38.87,-1.4200000000000002,1.27
