TIME,FILTERED_U,FILTERED_V,FILTERED_W
1.0,32.68,-0.98,1.9300000000000002
2.0,28.9,-3.5700000000000003,0.53
3.0,80.28,1.26,-12.36
4.0,33.87,1.6,0.77
5.0,-12.539999999999996,1.94,13.900000000000002
6.0,-14.099999999999998,2.81,13.68
7.000000000000001,-15.660000000000002,3.6799999999999997,13.459999999999999
8.0,-17.220000000000006,4.55,13.239999999999998
9.0,34.160000000000004,-0.79,-0.04
10.0,36.08,-5.42,-0.75
11.0,32.65,-2.32,-1.3
12.0,38.06,-3.93,-2.04
13.0,32.67,-4.82,-0.37
14.000000000000002,38.07,-3.37,-0.29
15.0,37.38,-4.87,0.03
16.0,38.29,-1.5,0.19
17.0,39.2,1.87,0.35000000000000003
18.0,38.67,-5.24,0.4
19.0,38.92,-2.62,-2.15
20.0,37.0,-3.29,-4.109999999999999
21.0,35.32,1.34,-3.39
22.0,31.669999999999998,-3.26,-2.75
23.0,33.129999999999995,-1.67,-1.81
24.0,29.13,-5.510000000000001,-1.6099999999999999
25.0,33.54,-3.88,-1.29
26.0,34.0,-2.07,-1.5599999999999998
27.0,31.269999999999996,-3.1399999999999997,-1.1900000000000002
28.000000000000004,35.69,-4.19,-1.44
28.999999999999996,31.45,-6.15,-0.89
30.0,34.599999999999994,-2.55,-0.58
31.0,33.61,-3.66,0.32
32.0,34.9,-6.38,0.63
33.0,35.79,-2.76,-1.2
34.0,33.269999999999996,-0.9400000000000001,0.83
35.0,30.69,-1.15,1.82
36.0,31.419999999999998,-5.41,1.23
37.0,32.84,-4.46,1.6199999999999999
38.0,28.59,-4.2,2.22
39.0,28.59,0.54,1.92
40.0,30.130000000000003,1.53,1.4000000000000001
41.0,32.62,0.21,0.72
42.0,28.38,-2.59,0.11
43.0,30.72,-1.1900000000000002,0.6
44.0,28.999999999999996,0.63,0.66
45.0,32.7,2.2399999999999998,1.46
46.0,30.209999999999997,-0.22999999999999998,1.92
47.0,34.74,0.7799999999999999,1.8599999999999999
48.0,39.0,7.249999999999999,0.7799999999999999
49.0,34.38,6.800000000000001,0.1
50.0,41.61,1.34,-1.68
51.0,30.930000000000003,6.7,-2.07
52.0,20.25,12.06,-2.46
53.0,37.36,1.69,-5.58
54.0,36.17,1.63,-4.38
55.00000000000001,34.980000000000004,1.5699999999999998,-3.1799999999999997
56.00000000000001,33.790000000000006,1.5099999999999998,-1.979999999999999
56.99999999999999,32.600000000000016,1.45,-0.7799999999999987
57.99999999999999,31.410000000000014,1.39,0.4200000000000016
59.0,30.22000000000002,1.3299999999999998,1.6200000000000019
60.0,29.030000000000022,1.27,2.8200000000000025
61.0,37.86,4.18,2.9899999999999998
62.0,36.8,-1.15,1.02
63.0,35.74,-6.4799999999999995,-0.9499999999999998
64.0,42.32,2.18,1.49
65.0,36.51,1.41,0.5599999999999999
66.0,38.87,1.02,1.04
67.0,35.79,0.1,1.27
68.0,36.47,1.37,1.13
69.0,38.17,1.9800000000000002,1.26
70.0,41.24,2.4699999999999998,0.13
71.0,41.14,0.65,-1.16
72.0,36.74,-0.36,-1.23
73.0,39.76,3.26,-3.11
74.0,34.1,0.44999999999999996,-1.73
75.0,28.440000000000005,-2.3599999999999994,-0.35
76.0,39.67,0.69,-1.63
77.0,35.64,-4.82,-2.31
78.0,32.54,0.24,-0.13999999999999999
79.0,40.53,1.25,1.04
80.0,38.87,1.77,0.8099999999999999
81.0,37.71,-2.9000000000000004,0.13
82.0,34.4,-1.21,0.86
83.0,37.059999999999995,3.0,0.83
84.0,38.45,-3.83,-0.37
85.0,39.42,-4.84,-0.38999999999999996
86.0,38.12,-2.42,-1.87
87.0,36.82,0.0,-3.35
88.0,34.17,-2.4699999999999998,-3.27
89.0,31.520000000000003,-4.9399999999999995,-3.19
90.0,36.59,-7.01,-3.42
91.0,37.15,-6.660000000000001,-3.45
92.0,36.25,-6.23,-3.9600000000000004
93.0,36.49,-4.67,-4.42
94.0,38.65,-3.71,-5.01
95.0,40.81,-2.7500000000000004,-5.6
96.0,42.970000000000006,-1.7900000000000007,-6.189999999999999
97.0,45.13,-0.8300000000000008,-6.7799999999999985
98.0,37.01,-5.58,-3.38
99.0,37.6,-6.39,-3.8600000000000003
100.0,40.339999999999996,-4.07,-3.7600000000000002
101.0,37.34,-4.62,-3.9800000000000004
102.0,36.09,-1.78,-3.74
103.0,37.580000000000005,-4.66,-3.6799999999999997
104.0,36.39,-1.41,-2.88
105.0,36.95,-0.72,-3.55
106.0,37.51,-0.029999999999999992,-4.22
107.0,33.040000000000006,-6.12,-2.63
108.0,29.75,-1.68,-0.72
109.00000000000001,33.739999999999995,2.69,-0.73
110.00000000000001,35.730000000000004,7.3,-0.37
111.00000000000001,30.9,4.68,-0.72
112.00000000000001,26.07,2.0600000000000005,-1.0699999999999998
112.99999999999999,33.11,2.41,-0.72
113.99999999999999,40.150000000000006,2.7599999999999993,-0.37
114.99999999999999,47.190000000000005,3.1099999999999985,-0.020000000000000052
115.99999999999999,54.230000000000004,3.4599999999999977,0.3299999999999999
117.0,61.27,3.809999999999997,0.6799999999999998
118.0,34.96,-2.3,1.6500000000000001
119.0,32.17,-3.2300000000000004,1.46
120.0,30.59,-2.32,1.43
121.0,27.6,-2.35,3.18
122.0,30.520000000000003,-1.17,3.04
123.0,28.410000000000004,-4.97,2.08
124.0,30.709999999999997,-6.65,1.13
125.0,31.480000000000004,-0.19,1.15
126.0,27.63,-3.1199999999999997,1.06
127.0,34.72,-4.760000000000001,0.61
128.0,32.62,-1.06,0.89
129.0,28.4,-1.9900000000000002,-0.64
130.0,24.179999999999996,-2.9200000000000004,-2.17
131.0,39.2,-3.81,0.11
132.0,30.75,-3.7800000000000002,1.16
133.0,32.519999999999996,0.31,0.5
134.0,36.7,-0.66,0.48
135.0,33.37,-0.8,-1.3599999999999999
136.0,33.739999999999995,-0.76,-1.87
137.0,31.269999999999996,-0.42,-2.5100000000000002
138.0,28.799999999999997,-0.07999999999999995,-3.15
139.0,26.33,0.26000000000000006,-3.7900000000000005
140.0,34.56,3.27,0.91
141.0,42.790000000000006,6.279999999999999,5.61
142.0,32.93,-4.45,-0.16999999999999998
143.0,23.06999999999999,-15.18,-5.95
144.0,32.79,-0.84,-0.27
145.0,34.36,-0.91,-1.76
146.0,30.56,-2.83,-2.3800000000000003
147.0,31.66,-7.13,-2.56
148.0,30.240000000000002,-0.8999999999999999,-2.65
149.0,28.349999999999998,0.45999999999999996,-2.48
150.0,31.35,-1.94,-1.54
151.0,33.879999999999995,-2.0,-1.97
152.0,29.37,-0.08,-2.31
153.0,30.59,-3.16,-2.6599999999999997
154.0,30.020000000000003,0.8500000000000001,-2.31
155.0,31.64,-0.16,-2.77
156.0,29.53,0.61,-0.84
157.0,35.709999999999994,0.8200000000000001,0.96
158.0,31.879999999999995,-0.7000000000000001,0.48
159.0,28.049999999999997,-2.22,0.0
160.0,30.43,1.4200000000000002,1.5
161.0,35.52,-1.43,2.9899999999999998
162.0,37.16,-1.16,1.15
163.0,33.28,-5.76,1.58
164.0,34.339999999999996,-5.510000000000001,-0.43
165.0,35.4,-5.260000000000001,-2.44
166.0,38.64,-6.78,-2.4699999999999998
167.0,41.88000000000001,-8.299999999999999,-2.5
168.0,36.97,-2.36,-1.5699999999999998
169.0,34.69,-1.4000000000000001,-1.81
170.0,30.48,-6.79,-2.01
171.0,31.540000000000003,-5.5,-1.31
