TIME,FILTERED_U,FILTERED_V,FILTERED_W
0.01,32.68,-0.98,1.93
0.02,28.9,-3.57,0.53
3,31.385,-0.985,0.65
4,33.87,1.6,0.77
5,32.12,2.71,0.94
6,33.245,1.705,1.16
7,34.37,0.7,1.38
8,31.2,-0.66,0.83
9,34.16,-0.79,-0.04
10,33.405,-1.555,-0.67
11,32.65,-2.32,-1.3
12,38.06,-3.93,-2.04
13,32.67,-4.82,-0.37
14,38.07,-3.37,-0.29
15,37.38,-4.87,0.03
16,38.29,-1.5,0.19
17,39.28,-2.88,0.98
18,39.1,-2.75,-0.585
19,38.92,-2.62,-2.15
20,37.12,-0.64,-2.77
21,35.32,1.34,-3.39
22,31.67,-3.26,-2.75
23,33.13,-1.67,-1.81
24,33.335,-2.775,-1.55
25,33.54,-3.88,-1.29
26,34,-2.07,-1.56
27,31.27,-3.14,-1.19
28,35.69,-4.19,-1.44
29,35.145,-3.37,-1.01
30,34.6,-2.55,-0.58
31,33.61,-3.66,0.32
32,34.7,-3.21,-0.44
33,35.79,-2.76,-1.2
34,33.27,-0.94,0.83
35,30.69,-1.15,1.82
36,31.765,-2.805,1.72
37,32.84,-4.46,1.62
38,28.59,-4.2,2.22
39,28.59,0.54,1.92
40,30.13,1.53,1.4
41,32.62,0.21,0.72
42,28.38,-2.59,0.11
43,30.72,-1.19,0.6
44,29,0.63,0.66
45,32.7,2.24,1.46
46,30.21,-0.23,1.92
47,34.74,0.78,1.86
48,34.56,3.79,0.98
49,38.085,2.565,-0.35
50,41.61,1.34,-1.68
51,43.955,3.86,-2.02
52,40.658,2.775,-3.8
53,38.414,2.202,-4.09
54,37.032,1.826,-2.785
55,35.65,1.45,-1.48
56,34.53,-2.45,2.69
57,36.54,3.505,2.19
58,33.88,4.208,1.81
59,31.22,4.91,1.43
60,34.54,4.545,2.21
61,37.86,4.18,2.99
62,36.8,-1.15,1.02
63,39.6,2.06,0.69
64,42.32,2.18,1.49
65,36.51,1.41,0.56
66,38.87,1.02,1.04
67,35.79,0.1,1.27
68,36.47,1.37,1.13
69,38.17,1.98,1.26
70,41.24,2.47,0.13
71,41.14,0.65,-1.16
72,36.74,-0.36,-1.23
73,39.76,3.26,-3.11
74,34.1,0.45,-1.73
